Date,City,Year,Month,Temperature_at_2m,Relative_Humidity_at_2m,Surface_Pressure,Wind_Speed_at_2m,Monthly_Precipitation,Rolling_3Month_Precipitation,SPI_3,Year_Month
1981-03-01,Riyadh,1981,3,20.88967741935484,37.086774193548386,94.34483870967742,2.9096774193548387,12.5,28.37,0.5156215117731027,1981-03
1981-04-01,Riyadh,1981,4,26.121666666666666,18.657333333333334,94.11999999999999,2.845666666666667,0.01,27.820000000000004,0.57662877139242,1981-04
1981-05-01,Riyadh,1981,5,30.50774193548387,20.593225806451613,93.98612903225806,2.7816129032258066,18.429999999999996,30.939999999999998,0.9644424763609298,1981-05
1981-06-01,Riyadh,1981,6,33.483666666666664,11.638333333333332,93.60333333333332,2.987,0.0,18.439999999999998,1.1552854060638769,1981-06
1981-07-01,Riyadh,1981,7,35.16645161290323,11.364516129032259,93.24580645161289,3.0280645161290325,0.0,18.429999999999996,2.173685341935255,1981-07
1981-08-01,Riyadh,1981,8,34.390967741935484,11.675806451612903,93.42193548387097,2.8574193548387097,0.0,0.0,-0.3791917808836802,1981-08
1981-09-01,Riyadh,1981,9,30.937,13.803,93.94166666666666,2.268666666666667,0.0,0.0,-0.3487556955170447,1981-09
1981-10-01,Riyadh,1981,10,26.193870967741937,19.67838709677419,94.45064516129032,2.145483870967742,0.0,0.0,-0.504889622010601,1981-10
1981-11-01,Riyadh,1981,11,19.915333333333333,27.613333333333333,94.65566666666668,2.761,0.02,0.02,-0.6525698475683884,1981-11
1981-12-01,Riyadh,1981,12,16.247096774193547,35.350322580645155,94.82903225806452,2.5770967741935484,0.0,0.02,-1.1344444186388762,1981-12
1982-01-01,Riyadh,1982,1,13.784193548387098,41.16225806451613,94.68096774193549,2.6022580645161293,1.08,1.1,-1.122386767588457,1982-01
1982-02-01,Riyadh,1982,2,11.957142857142857,49.044285714285714,94.55,3.1350000000000002,57.949999999999996,59.029999999999994,1.3050909992733044,1982-02
1982-03-01,Riyadh,1982,3,17.21,54.65548387096774,94.37516129032258,3.052258064516129,81.13000000000001,140.16,2.3325842210894785,1982-03
1982-04-01,Riyadh,1982,4,23.346666666666668,41.25933333333333,94.26366666666667,2.4356666666666666,2.66,141.74,2.778388880722227,1982-04
