City,Date,SPI_3,Temperature_at_2m,Relative_Humidity_at_2m,Surface_Pressure,Wind_Speed_at_2m,Monthly_Precipitation,Actual_Drought,Predicted_Drought,Drought_Probability,Prediction_Label,Actual_Label,Risk_Status
Riyadh,2018-07-01,-0.0723100189656954,35.98290322580645,12.218064516129033,93.27935483870968,3.7745161290322575,0.0,0,0,1.6666666666666667,No drought,No drought,Normal conditions
Riyadh,2018-08-01,-0.3791917808836802,35.18193548387097,13.425483870967742,93.43612903225808,3.3851612903225807,0.0,0,0,0.0,No drought,No drought,Normal conditions
Riyadh,2018-09-01,-0.3487556955170447,34.044333333333334,15.203666666666669,93.883,2.523333333333333,0.0,0,0,0.0,No drought,No drought,Normal conditions
Riyadh,2018-10-01,1.455120126293633,27.644193548387097,28.71935483870968,94.46096774193548,2.185483870967742,6.49,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Riyadh,2018-11-01,1.150786611191303,20.978666666666665,48.07166666666667,94.65,2.767333333333333,12.24,0,0,6.0,No drought,No drought,Normal conditions
Riyadh,2018-12-01,1.1439001420804205,16.693870967741937,52.6958064516129,94.82806451612905,2.372903225806452,15.19,0,0,3.0,No drought,No drought,Normal conditions
Riyadh,2019-01-01,0.618657302044439,16.37677419354839,38.1641935483871,94.7767741935484,2.9922580645161294,0.0,0,0,4.333333333333334,No drought,No drought,Normal conditions
Riyadh,2019-02-01,0.2798617212211173,16.49642857142857,35.65785714285714,94.62428571428572,3.239642857142857,4.1,0,0,5.0,No drought,No drought,Normal conditions
Riyadh,2019-03-01,-0.6825305373613231,19.160967741935483,27.14548387096774,94.37354838709678,3.3480645161290323,0.04,0,0,4.333333333333334,No drought,No drought,Normal conditions
Riyadh,2019-04-01,-0.3749434338494654,25.165666666666667,26.146666666666665,94.221,3.0116666666666663,4.38,0,0,4.666666666666667,No drought,No drought,Normal conditions
Riyadh,2019-05-01,-0.320095077276546,31.596774193548388,21.166451612903224,94.03774193548388,2.5274193548387096,1.62,0,0,6.666666666666667,No drought,No drought,Normal conditions
Riyadh,2019-06-01,0.2762596304193611,36.085,11.592,93.62833333333332,2.817333333333333,0.0,0,0,1.3333333333333335,No drought,No drought,Normal conditions
Riyadh,2019-07-01,0.6173760191936133,36.1658064516129,12.371612903225806,93.33258064516129,3.859677419354839,0.0,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Riyadh,2019-08-01,-0.3791917808836802,35.74870967741936,12.980645161290322,93.46419354838709,3.3364516129032262,0.0,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Riyadh,2019-09-01,-0.3487556955170447,33.657000000000004,16.588,93.848,2.365666666666667,0.0,0,0,0.0,No drought,No drought,Normal conditions
Riyadh,2019-10-01,-0.504889622010601,29.265806451612903,22.89354838709677,94.28193548387098,2.498709677419355,0.0,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Riyadh,2019-11-01,0.7036695521729739,20.997666666666664,40.79666666666667,94.62366666666668,2.539333333333333,9.12,0,0,24.0,No drought,No drought,Normal conditions
Riyadh,2019-12-01,0.3357789868131313,16.333225806451612,44.12129032258064,94.70451612903226,2.718709677419355,0.73,0,0,3.6666666666666665,No drought,No drought,Normal conditions
Riyadh,2020-01-01,0.0430272948856568,13.33516129032258,38.89645161290323,94.74741935483873,3.00258064516129,2.87,0,0,5.0,No drought,No drought,Normal conditions
Riyadh,2020-02-01,-0.6799487297282749,17.066206896551726,27.91689655172414,94.70620689655172,3.090344827586207,0.0,0,0,8.0,No drought,No drought,Normal conditions
Riyadh,2020-03-01,-0.840589644680117,21.015483870967746,24.636129032258065,94.3051612903226,3.0038709677419355,0.03,0,0,10.333333333333334,No drought,No drought,Normal conditions
Riyadh,2020-04-01,0.616058129283881,26.616333333333333,32.157666666666664,94.116,3.3430000000000004,28.93,0,1,60.66666666666667,Drought,No drought,Drought warning
Riyadh,2020-05-01,0.907071578178511,31.36806451612903,17.64290322580645,94.06032258064516,2.85,0.27,0,0,3.6666666666666665,No drought,No drought,Normal conditions
Riyadh,2020-06-01,1.6372474714158043,35.011,11.749666666666666,93.59633333333332,3.022666666666667,0.0,0,0,5.666666666666666,No drought,No drought,Normal conditions
Riyadh,2020-07-01,0.204915336307012,37.420967741935485,15.077419354838709,93.20387096774192,2.9741935483870967,0.07,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Riyadh,2020-08-01,0.7126500611682889,35.36451612903225,13.65709677419355,93.29612903225808,3.2961290322580648,0.0,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Riyadh,2020-09-01,0.7784738850322577,32.675333333333334,14.731666666666666,93.856,2.3476666666666666,0.0,0,0,1.3333333333333335,No drought,No drought,Normal conditions
Riyadh,2020-10-01,-0.504889622010601,25.148387096774197,17.405161290322578,94.4132258064516,2.0451612903225804,0.0,0,0,2.3333333333333335,No drought,No drought,Normal conditions
Riyadh,2020-11-01,0.4104903254543033,21.271666666666665,35.599333333333334,94.63933333333333,2.667333333333333,4.95,0,0,14.666666666666666,No drought,No drought,Normal conditions
Riyadh,2020-12-01,0.1819541582334406,15.518064516129032,48.190322580645166,94.84548387096774,2.315483870967742,2.27,0,0,3.6666666666666665,No drought,No drought,Normal conditions
Riyadh,2021-01-01,0.1326440987367232,14.47,41.630645161290325,94.86,2.350322580645161,7.31,0,0,3.0,No drought,No drought,Normal conditions
Riyadh,2021-02-01,-0.0182930013434803,16.322857142857142,40.20964285714285,94.6975,2.810714285714286,2.96,0,0,3.6666666666666665,No drought,No drought,Normal conditions
Riyadh,2021-03-01,-0.1653475943039367,23.066451612903226,20.100967741935484,94.38709677419357,3.2477419354838712,0.64,0,0,0.6666666666666667,No drought,No drought,Normal conditions
Riyadh,2021-04-01,-0.4975131977559707,27.336333333333336,16.657,94.263,3.0083333333333333,3.44,0,0,5.666666666666666,No drought,No drought,Normal conditions
Riyadh,2021-05-01,-0.5476908916241361,32.67935483870968,12.294516129032258,93.84483870967742,2.4335483870967742,0.0,0,0,3.6666666666666665,No drought,No drought,Normal conditions
Riyadh,2021-06-01,-0.0493681610504006,35.05166666666666,10.557,93.68666666666668,3.752666666666667,0.0,0,0,3.3333333333333335,No drought,No drought,Normal conditions
Riyadh,2021-07-01,0.4341285391984949,37.33741935483871,16.86,93.23032258064516,2.958387096774193,0.91,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Riyadh,2021-08-01,1.2890355870481305,36.17193548387097,13.414193548387097,93.48806451612904,2.625483870967742,0.0,0,0,1.0,No drought,No drought,Normal conditions
Riyadh,2021-09-01,1.2994580521911652,31.79366666666667,15.544666666666668,93.804,3.0863333333333336,0.0,0,0,1.0,No drought,No drought,Normal conditions
Riyadh,2021-10-01,-0.504889622010601,28.413870967741936,19.448387096774194,94.33709677419354,2.4051612903225807,0.0,0,0,1.0,No drought,No drought,Normal conditions
Riyadh,2021-11-01,-1.2687073653921923,22.011333333333333,29.144,94.59966666666666,2.319,0.0,1,0,19.666666666666664,No drought,Drought,Normal conditions
Riyadh,2021-12-01,-0.3049037693810687,16.25741935483871,37.150000000000006,94.79064516129031,2.500967741935484,2.08,0,0,37.666666666666664,No drought,No drought,Normal conditions
Riyadh,2022-01-01,0.8425550203923167,13.724193548387095,45.53935483870968,94.68741935483872,2.693548387096774,33.2,0,0,7.000000000000001,No drought,No drought,Normal conditions
Riyadh,2022-02-01,0.780522645548151,16.05392857142857,31.596071428571427,94.59857142857142,3.01,0.0,0,0,2.666666666666667,No drought,No drought,Normal conditions
Riyadh,2022-03-01,0.6498199917102883,21.426129032258064,19.59,94.38870967741936,3.177741935483871,0.0,0,0,6.333333333333334,No drought,No drought,Normal conditions
Riyadh,2022-04-01,-0.3618391763595849,27.795,19.20133333333333,94.129,2.676,8.69,0,1,66.66666666666666,Drought,No drought,Drought warning
Riyadh,2022-05-01,-0.0869296127340564,30.900967741935485,13.880322580645162,93.97225806451613,2.831290322580645,0.0,0,0,8.0,No drought,No drought,Normal conditions
Riyadh,2022-06-01,0.5284592064975965,35.44266666666667,10.798333333333334,93.53166666666668,2.8673333333333333,0.0,0,0,7.333333333333333,No drought,No drought,Normal conditions
Riyadh,2022-07-01,0.3676086033924199,35.90935483870968,15.980645161290322,93.21064516129032,3.586129032258065,0.71,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Riyadh,2022-08-01,1.4479091185234532,36.29032258064516,17.976129032258065,93.33741935483872,2.901935483870968,0.56,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Riyadh,2022-09-01,1.440936947646448,32.599000000000004,15.661,93.82933333333334,2.326,0.0,0,0,2.3333333333333335,No drought,No drought,Normal conditions
Riyadh,2022-10-01,0.6966928872461027,27.20935483870968,16.38483870967742,94.39387096774192,2.020967741935484,0.0,0,0,1.6666666666666667,No drought,No drought,Normal conditions
Riyadh,2022-11-01,-1.2687073653921923,23.061,30.23133333333333,94.582,2.975,0.0,1,0,22.333333333333332,No drought,Drought,Normal conditions
Riyadh,2022-12-01,1.3469761814911434,16.156129032258065,51.18741935483871,94.76290322580644,2.4306451612903226,43.0,0,0,28.333333333333332,No drought,No drought,Normal conditions
Riyadh,2023-01-01,2.346111607148048,13.132903225806452,70.77645161290323,94.87451612903226,2.6216129032258064,80.67,0,0,6.333333333333334,No drought,No drought,Normal conditions
Riyadh,2023-02-01,2.274558868518638,15.843571428571428,47.24857142857143,94.62892857142856,2.946428571428572,0.0,0,0,2.3333333333333335,No drought,No drought,Normal conditions
Riyadh,2023-03-01,1.8433991710968227,21.12935483870968,41.95258064516129,94.30419354838708,2.998064516129032,19.04,0,0,2.666666666666667,No drought,No drought,Normal conditions
Riyadh,2023-04-01,1.198116150946405,23.621666666666663,41.94433333333333,94.26133333333334,2.4560000000000004,30.32,0,0,4.333333333333334,No drought,No drought,Normal conditions
Riyadh,2023-05-01,1.5623061428132603,31.127741935483872,22.220322580645163,94.03612903225806,3.044516129032258,3.2,0,0,2.666666666666667,No drought,No drought,Normal conditions
Riyadh,2023-06-01,1.8003387198402874,34.85566666666667,15.367,93.655,3.211,0.0,0,0,1.6666666666666667,No drought,No drought,Normal conditions
Riyadh,2023-07-01,0.8991470644292938,36.980645161290326,11.226774193548389,93.39387096774192,2.6148387096774197,0.0,0,0,0.6666666666666667,No drought,No drought,Normal conditions
Riyadh,2023-08-01,-0.3791917808836802,36.86451612903225,13.941935483870967,93.50064516129032,2.8896774193548387,0.0,0,0,1.0,No drought,No drought,Normal conditions
Riyadh,2023-09-01,-0.3487556955170447,34.005,14.188333333333334,93.83966666666667,2.4486666666666665,0.0,0,0,0.6666666666666667,No drought,No drought,Normal conditions
Riyadh,2023-10-01,1.1872783156818725,28.603870967741937,23.02774193548387,94.44903225806452,2.248064516129032,3.62,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Riyadh,2023-11-01,0.8446963893325695,22.55133333333333,46.19266666666667,94.655,2.353666666666667,8.09,0,0,4.666666666666667,No drought,No drought,Normal conditions
Riyadh,2023-12-01,0.6696065247219829,17.009032258064515,38.35612903225806,94.85451612903223,2.2974193548387096,5.87,0,0,1.3333333333333335,No drought,No drought,Normal conditions
Riyadh,2024-01-01,0.1052914289368058,17.019032258064517,41.90161290322581,94.75709677419356,2.470322580645161,0.0,0,0,2.0,No drought,No drought,Normal conditions
Riyadh,2024-02-01,0.0931867459729306,16.96034482758621,40.818275862068965,94.67586206896551,3.236896551724138,8.969999999999999,0,0,6.666666666666667,No drought,No drought,Normal conditions
Riyadh,2024-03-01,0.5826297170055688,20.526451612903227,37.89709677419355,94.50193548387097,3.1596774193548387,21.75,0,0,5.333333333333334,No drought,No drought,Normal conditions
Riyadh,2024-04-01,1.5789482274646756,24.530666666666665,38.48,94.106,3.005333333333333,35.8,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Riyadh,2024-05-01,1.9499376963285264,31.429354838709678,24.738709677419354,93.8983870967742,3.11741935483871,12.89,0,0,0.6666666666666667,No drought,No drought,Normal conditions
Riyadh,2024-06-01,2.2921869307854124,36.53766666666666,11.691333333333334,93.48166666666664,3.0876666666666663,0.0,0,0,1.3333333333333335,No drought,No drought,Normal conditions
Riyadh,2024-07-01,1.8232677637688397,37.12612903225807,13.184193548387096,93.23967741935483,3.4406451612903224,0.0,0,0,2.3333333333333335,No drought,No drought,Normal conditions
Riyadh,2024-08-01,-0.3791917808836802,36.79064516129032,17.09193548387097,93.42096774193548,3.2477419354838712,0.0,0,0,0.0,No drought,No drought,Normal conditions
Riyadh,2024-09-01,-0.3487556955170447,33.294,18.434,93.81533333333331,2.6173333333333333,0.0,0,0,1.0,No drought,No drought,Normal conditions
Riyadh,2024-10-01,0.5879332616245555,27.97,25.227096774193548,94.28451612903228,2.605483870967742,0.26,0,0,5.0,No drought,No drought,Normal conditions
Riyadh,2024-11-01,0.3912130843620073,22.247333333333334,33.73133333333333,94.65833333333332,2.417333333333333,4.47,0,0,24.666666666666668,No drought,No drought,Normal conditions
Riyadh,2024-12-01,-0.0043975981428231,15.631290322580645,34.75258064516129,94.8767741935484,2.516451612903226,0.0,0,0,6.666666666666667,No drought,No drought,Normal conditions
Riyadh,2025-01-01,-0.5503803627843155,12.21,30.93,95.02,3.28,0.0,0,0,9.666666666666666,No drought,No drought,Normal conditions
Taif,2018-07-01,0.91499574131134,34.343548387096774,26.51225806451613,94.75161290322582,3.296774193548387,0.0,0,0,5.333333333333334,No drought,No drought,Normal conditions
Taif,2018-08-01,1.0011348151727004,34.09451612903226,29.17,94.77129032258064,3.504516129032258,0.06,0,0,2.666666666666667,No drought,No drought,Normal conditions
Taif,2018-09-01,-0.4903197619194784,34.159,31.728666666666665,94.917,2.684,0.24,0,0,27.666666666666668,No drought,No drought,Normal conditions
Taif,2018-10-01,0.4533109280826268,30.006774193548388,37.5816129032258,95.31548387096775,2.5222580645161288,8.48,0,0,17.333333333333336,No drought,No drought,Normal conditions
Taif,2018-11-01,1.3841771724431735,24.931,63.44166666666667,95.467,2.523333333333333,35.81,0,0,1.6666666666666667,No drought,No drought,Normal conditions
Taif,2018-12-01,1.337185689116363,23.470967741935485,57.71354838709678,95.63387096774194,2.2006451612903226,5.55,0,0,0.6666666666666667,No drought,No drought,Normal conditions
Taif,2019-01-01,1.338415737046856,23.135806451612904,59.23193548387097,95.63451612903226,2.7461290322580645,8.62,0,0,1.6666666666666667,No drought,No drought,Normal conditions
Taif,2019-02-01,0.52331839665558,23.011785714285715,47.30535714285714,95.51571428571428,3.1942857142857144,0.13,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Taif,2019-03-01,0.281129987418131,24.01129032258065,37.30677419354839,95.39290322580644,3.4248387096774198,0.0,0,0,3.0,No drought,No drought,Normal conditions
Taif,2019-04-01,-1.37243643408313,28.724666666666668,31.572333333333333,95.203,3.3383333333333334,0.0,1,0,15.333333333333332,No drought,Drought,Normal conditions
Taif,2019-05-01,-0.0170506730130496,32.865806451612904,29.973548387096777,95.0883870967742,2.667741935483871,8.93,0,0,20.333333333333332,No drought,No drought,Normal conditions
Taif,2019-06-01,0.1150327491890288,36.084,18.60933333333333,94.80566666666668,3.891,0.02,0,0,8.333333333333332,No drought,No drought,Normal conditions
Taif,2019-07-01,0.5280176627859665,35.1941935483871,19.247096774193547,94.67709677419354,3.813870967741936,0.0,0,0,1.6666666666666667,No drought,No drought,Normal conditions
Taif,2019-08-01,-0.0614397606550167,33.9141935483871,32.589354838709674,94.86322580645162,3.39,1.43,0,0,12.666666666666668,No drought,No drought,Normal conditions
Taif,2019-09-01,-0.0703005850685895,34.61033333333333,27.759,94.86366666666666,2.957666666666667,0.03,0,0,6.666666666666667,No drought,No drought,Normal conditions
Taif,2019-10-01,-0.1954319802164318,30.338064516129037,39.90387096774194,95.25903225806452,2.540645161290323,0.79,0,0,5.333333333333334,No drought,No drought,Normal conditions
Taif,2019-11-01,-0.4011137097243857,27.112666666666662,49.91966666666666,95.379,2.436,2.12,0,0,12.666666666666668,No drought,No drought,Normal conditions
Taif,2019-12-01,-0.6335970729219507,23.926129032258064,50.7616129032258,95.54129032258064,2.326774193548387,0.16,0,0,7.000000000000001,No drought,No drought,Normal conditions
Taif,2020-01-01,-0.9331968051795968,19.932580645161288,42.42677419354839,95.70129032258065,2.792258064516129,0.0,0,0,10.666666666666668,No drought,No drought,Normal conditions
Taif,2020-02-01,-0.3709585738695498,22.60793103448276,46.74103448275862,95.60310344827586,2.9682758620689653,3.4400000000000004,0,0,34.333333333333336,No drought,No drought,Normal conditions
Taif,2020-03-01,0.0072647582294689,25.23032258064516,32.7541935483871,95.3048387096774,3.0622580645161293,2.47,0,0,2.3333333333333335,No drought,No drought,Normal conditions
Taif,2020-04-01,0.1984762198979379,28.367,33.426,95.23566666666667,3.130666666666667,3.39,0,0,1.0,No drought,No drought,Normal conditions
Taif,2020-05-01,0.7537492912942284,32.80967741935484,28.056129032258063,95.1116129032258,2.895806451612903,17.92,0,0,0.0,No drought,No drought,Normal conditions
Taif,2020-06-01,0.9191422468856376,35.282333333333334,18.599666666666668,94.73766666666668,3.594666666666667,4.63,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Taif,2020-07-01,1.5918236911225585,33.62096774193548,28.205806451612904,94.61290322580643,3.775483870967742,9.3,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Taif,2020-08-01,1.051989289138175,32.95516129032258,35.082258064516125,94.75,3.3096774193548386,2.38,0,0,0.33333333333333337,No drought,No drought,Normal conditions
Taif,2020-09-01,1.5371284503380256,34.03066666666667,27.145666666666667,94.846,2.498333333333333,17.78,0,0,0.6666666666666667,No drought,No drought,Normal conditions
Taif,2020-10-01,1.3533747029735796,30.15741935483871,26.544516129032257,95.2416129032258,2.7254838709677416,9.6,0,0,0.6666666666666667,No drought,No drought,Normal conditions
Taif,2020-11-01,1.2798589610538582,26.35233333333333,55.141,95.46933333333332,2.557333333333333,12.759999999999998,0,0,2.3333333333333335,No drought,No drought,Normal conditions
Taif,2020-12-01,0.5923895658300337,23.855483870967745,52.46483870967742,95.56870967741936,2.3638709677419354,0.47,0,0,2.0,No drought,No drought,Normal conditions
Taif,2021-01-01,1.2549828441616997,22.34967741935484,57.54032258064516,95.56935483870969,2.422903225806452,33.41,0,0,4.333333333333334,No drought,No drought,Normal conditions
Taif,2021-02-01,1.922908449214478,21.92,53.0875,95.52428571428572,2.960714285714286,21.06,0,0,3.6666666666666665,No drought,No drought,Normal conditions
Taif,2021-03-01,2.214362657681076,26.690645161290323,35.90032258064517,95.30741935483871,3.131935483870968,0.1699999999999999,0,0,2.666666666666667,No drought,No drought,Normal conditions
Taif,2021-04-01,2.050202173862792,29.222,33.657666666666664,95.20466666666668,3.0113333333333334,42.080000000000005,0,0,4.333333333333334,No drought,No drought,Normal conditions
Taif,2021-05-01,1.5482961649579263,32.36290322580645,29.80806451612903,95.01903225806451,2.519354838709677,8.03,0,0,4.333333333333334,No drought,No drought,Normal conditions
Taif,2021-06-01,1.6058105053230167,36.11266666666666,22.297666666666665,94.75533333333333,3.122,0.6000000000000001,0,0,2.0,No drought,No drought,Normal conditions
Taif,2021-07-01,0.5433500226682767,33.70903225806452,32.40064516129032,94.64032258064516,3.644516129032258,0.53,0,0,3.3333333333333335,No drought,No drought,Normal conditions
Taif,2021-08-01,0.2542095114716771,34.66258064516129,32.99193548387097,94.75129032258064,3.045483870967742,2.48,0,0,9.0,No drought,No drought,Normal conditions
Taif,2021-09-01,0.6916558458730975,33.826,31.610666666666663,94.845,3.068,5.829999999999998,0,0,2.3333333333333335,No drought,No drought,Normal conditions
Taif,2021-10-01,0.4377974800230574,31.549354838709675,29.18967741935484,95.21193548387096,2.7109677419354843,0.24,0,0,1.3333333333333335,No drought,No drought,Normal conditions
Taif,2021-11-01,0.205176962223635,27.002333333333336,42.19433333333333,95.43033333333332,2.361333333333333,3.84,0,0,4.0,No drought,No drought,Normal conditions
Taif,2021-12-01,-0.1485338455557215,23.78516129032258,49.4741935483871,95.56935483870969,2.359354838709677,3.790000000000001,0,0,6.333333333333334,No drought,No drought,Normal conditions
Taif,2022-01-01,0.3351632494310026,21.285806451612903,56.94290322580645,95.57225806451612,2.620967741935484,11.06,0,0,3.6666666666666665,No drought,No drought,Normal conditions
Taif,2022-02-01,0.6990436701520832,23.203928571428573,45.5025,95.43571428571428,3.062142857142857,2.81,0,0,1.3333333333333335,No drought,No drought,Normal conditions
Taif,2022-03-01,0.7405263717743836,26.026774193548388,38.13,95.28580645161291,3.257096774193548,1.4700000000000002,0,0,0.6666666666666667,No drought,No drought,Normal conditions
Taif,2022-04-01,0.7233218122003374,30.84933333333333,27.692666666666664,95.02466666666666,3.223,14.38,0,0,0.6666666666666667,No drought,No drought,Normal conditions
Taif,2022-05-01,0.4440572402289783,34.12,18.718709677419355,94.97354838709676,2.8822580645161286,0.79,0,0,2.3333333333333335,No drought,No drought,Normal conditions
