Date,City,Actual_SPI_3,Predicted_SPI_3,Residual,Absolute_Error,Actual_Drought,Predicted_Drought,Actual_Status,Predicted_Status,Actual_SPI_Category,Predicted_SPI_Category,Predicted_Drought_LSTM,Actual_Condition,LSTM_Condition
2021-11-01,Riyadh,-1.2687073,-0.30468026,-0.96402705,0.96402705,1,0,Drought,No Drought,Moderate Drought,Near Normal,0,Drought,No drought
2021-12-01,Riyadh,-0.30490375,-0.5259071,0.22100335,0.22100335,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-01-01,Riyadh,0.842555,-0.46994352,1.3124986,1.3124986,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-02-01,Riyadh,0.78052264,1.1962821,-0.4157595,0.4157595,0,0,No Drought,No Drought,Near Normal,Moderately Wet,0,No drought,No drought
2022-03-01,Riyadh,0.64981997,0.62586254,0.023957431,0.023957431,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-04-01,Riyadh,-0.36183918,-0.6979605,0.33612132,0.33612132,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-05-01,Riyadh,-0.08692961,0.050226495,-0.1371561,0.1371561,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-06-01,Riyadh,0.5284592,-0.05656157,0.5850208,0.5850208,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-07-01,Riyadh,0.3676086,-0.091829315,0.4594379,0.4594379,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-08-01,Riyadh,1.4479092,0.0016726939,1.4462365,1.4462365,0,0,No Drought,No Drought,Moderately Wet,Near Normal,0,No drought,No drought
2022-09-01,Riyadh,1.440937,0.096095994,1.344841,1.344841,0,0,No Drought,No Drought,Moderately Wet,Near Normal,0,No drought,No drought
2022-10-01,Riyadh,0.6966929,-0.07949106,0.77618396,0.77618396,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2022-11-01,Riyadh,-1.2687073,-0.373,-0.89570725,0.89570725,1,0,Drought,No Drought,Moderate Drought,Near Normal,0,Drought,No drought
2022-12-01,Riyadh,1.3469763,-0.50014645,1.8471227,1.8471227,0,0,No Drought,No Drought,Moderately Wet,Near Normal,0,No drought,No drought
2023-01-01,Riyadh,2.3461115,1.2749281,1.0711834,1.0711834,0,0,No Drought,No Drought,Extremely Wet,Moderately Wet,0,No drought,No drought
2023-02-01,Riyadh,2.2745588,2.1479173,0.12664151,0.12664151,0,0,No Drought,No Drought,Extremely Wet,Extremely Wet,0,No drought,No drought
2023-03-01,Riyadh,1.8433993,1.1675489,0.6758504,0.6758504,0,0,No Drought,No Drought,Very Wet,Moderately Wet,0,No drought,No drought
2023-04-01,Riyadh,1.1981163,1.0898423,0.10827398,0.10827398,0,0,No Drought,No Drought,Moderately Wet,Moderately Wet,0,No drought,No drought
2023-05-01,Riyadh,1.5623062,1.7620064,-0.19970024,0.19970024,0,0,No Drought,No Drought,Very Wet,Very Wet,0,No drought,No drought
2023-06-01,Riyadh,1.8003387,1.3206011,0.47973764,0.47973764,0,0,No Drought,No Drought,Very Wet,Moderately Wet,0,No drought,No drought
2023-07-01,Riyadh,0.89914703,0.40853155,0.4906155,0.4906155,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2023-08-01,Riyadh,-0.37919176,0.10732359,-0.48651534,0.48651534,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2023-09-01,Riyadh,-0.3487557,0.11467679,-0.4634325,0.4634325,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
